No	RefTree	Tree	RefTree_taxa	Tree_taxa	Common_taxa	Triples	Triples_toYuleAvg	Triples_toUnifAvg	RFCluster(0.5)	RFCluster(0.5)_toYuleAvg	RFCluster(0.5)_toUnifAvg	MatchingPair	MatchingPair_toYuleAvg	MatchingPair_toUnifAvg	NodalSplittedWeighted	NodalSplittedWeighted_toYuleAvg	NodalSplittedWeighted_toUnifAvg	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg	MAST	MAST_toYuleAvg	MAST_toUnifAvg	CopheneticL2Metric	CopheneticL2Metric_toYuleAvg	CopheneticL2Metric_toUnifAvg	Quartet	Quartet_toYuleAvg	Quartet_toUnifAvg	PathDiffernce	PathDiffernce_toYuleAvg	PathDiffernce_toUnifAvg
1	1	1	16	588	16	321.0000	0.8603	0.8625	13.0000	0.9439	0.9403	77.0000	0.9429	0.9620	30.6385	N/A	N/A	52.0000	0.8898	0.8054	9.0000	0.8942	0.8888	24.5153	0.7459	0.6591	1125.0000	0.9304	0.9310	34.9857	1.0639	0.8930
2	1	2	16	588	16	271.0000	0.7263	0.7281	12.0000	0.8713	0.8680	64.0000	0.7837	0.7996	32.5615	N/A	N/A	41.0000	0.7016	0.6350	9.0000	0.8942	0.8888	22.3383	0.6797	0.6006	754.0000	0.6236	0.6240	26.6646	0.8109	0.6806
3	1	3	16	588	16	171.0000	0.4583	0.4595	12.0000	0.8713	0.8680	72.0000	0.8817	0.8996	24.9349	N/A	N/A	70.0000	1.1978	1.0842	10.0000	0.9935	0.9876	50.0999	1.5244	1.3470	756.0000	0.6252	0.6257	40.0500	1.2179	1.0223
4	1	4	16	588	16	136.0000	0.3645	0.3654	12.0000	0.8713	0.8680	44.0000	0.5388	0.5497	31.3730	N/A	N/A	29.0000	0.4962	0.4492	5.0000	0.4968	0.4938	13.9284	0.4238	0.3745	687.0000	0.5681	0.5686	25.4558	0.7741	0.6498
5	1	5	16	588	16	252.0000	0.6754	0.6771	12.0000	0.8713	0.8680	54.0000	0.6613	0.6747	37.9893	N/A	N/A	39.0000	0.6674	0.6040	8.0000	0.7948	0.7900	20.4695	0.6228	0.5503	766.0000	0.6335	0.6339	27.0370	0.8222	0.6901
6	1	6	16	588	16	208.0000	0.5575	0.5589	8.0000	0.5809	0.5787	54.0000	0.6613	0.6747	46.1472	N/A	N/A	25.0000	0.4278	0.3872	7.0000	0.6955	0.6913	16.4924	0.5018	0.4434	354.0000	0.2928	0.2930	17.2047	0.5232	0.4391
7	1	7	16	588	16	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.8090	N/A	N/A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
---------
Summary:
Name	Avg	Std	Min	Max	Count
Triples	194.14285714285714	97.94084011925419	0.0	321.0	7
RFCluster(0.5)	9.857142857142858	4.290473547908915	0.0	13.0	7
MatchingPair	52.142857142857146	23.739229566440503	0.0	77.0	7
NodalSplittedWeighted	34.350464694056406	6.244361616730478	24.934921048192162	46.14716184413411	7
MatchingCluster	36.57142857142857	20.38807174275574	0.0	70.0	7
MAST	6.857142857142857	3.181579635902871	0.0	10.0	7
CopheneticL2Metric	21.120544245366585	14.002337944870835	0.0	50.0999001995014	7
Quartet	634.5714285714286	331.86738192186573	0.0	1125.0	7
PathDiffernce	24.485395676573237	12.05497994269553	0.0	40.049968789001575	7
